date,btc_price,change_24h,timestamp
2023-01-01,16625.08,,
2023-01-02,16688.47,,
2023-01-03,16679.86,,
2023-01-04,16863.24,,
2023-01-05,16836.74,,
2023-01-06,16951.97,,
2023-01-07,16955.08,,
2023-01-08,17091.14,,
2023-01-09,17196.55,,
2023-01-10,17446.29,,
2023-01-11,17934.90,,
2023-01-12,18869.59,,
2023-01-13,19909.57,,
2023-01-14,20976.30,,
2023-01-15,20880.80,,
2023-01-16,21169.63,,
2023-01-17,21161.52,,
2023-01-18,20688.78,,
2023-01-19,21086.79,,
2023-01-20,22676.55,,
2023-01-21,22777.62,,
2023-01-22,22720.42,,
2023-01-23,22934.43,,
2023-01-24,22636.47,,
2023-01-25,23117.86,,
2023-01-26,23032.78,,
2023-01-27,23078.73,,
2023-01-28,23031.09,,
2023-01-29,23774.57,,
2023-01-30,22840.14,,
2023-01-31,23139.28,,
2023-02-01,23723.77,,
2023-02-02,23471.87,,
2023-02-03,23449.32,,
2023-02-04,23331.85,,
2023-02-05,22955.67,,
2023-02-06,22760.11,,
2023-02-07,23264.29,,
2023-02-08,22939.40,,
2023-02-09,21819.04,,
2023-02-10,21651.18,,
2023-02-11,21870.88,,
2023-02-12,21788.20,,
2023-02-13,21808.10,,
2023-02-14,22220.80,,
2023-02-15,24307.84,,
2023-02-16,23623.47,,
2023-02-17,24565.60,,
2023-02-18,24641.28,,
2023-02-19,24327.64,,
2023-02-20,24829.15,,
2023-02-21,24436.35,,
2023-02-22,24188.84,,
2023-02-23,23947.49,,
2023-02-24,23198.13,,
2023-02-25,23175.38,,
2023-02-26,23561.21,,
2023-02-27,23522.87,,
2023-02-28,23147.35,,
2023-03-01,23646.55,,
2023-03-02,23475.47,,
2023-03-03,22362.68,,
2023-03-04,22353.35,,
2023-03-05,22435.51,,
2023-03-06,22429.76,,
2023-03-07,22219.77,,
2023-03-08,21718.08,,
2023-03-09,20363.02,,
2023-03-10,20187.24,,
2023-03-11,20632.41,,
2023-03-12,22163.95,,
2023-03-13,24197.53,,
2023-03-14,24746.07,,
2023-03-15,24375.96,,
2023-03-16,25052.79,,
2023-03-17,27423.93,,
2023-03-18,26965.88,,
2023-03-19,28038.68,,
2023-03-20,27767.24,,
2023-03-21,28175.82,,
2023-03-22,27307.44,,
2023-03-23,28333.97,,
2023-03-24,27493.29,,
2023-03-25,27494.71,,
2023-03-26,27994.33,,
2023-03-27,27139.89,,
2023-03-28,27268.13,,
2023-03-29,28348.44,,
2023-03-30,28033.56,,
2023-03-31,28478.48,,
2023-04-01,28411.04,,
2023-04-02,28199.31,,
2023-04-03,27790.22,,
2023-04-04,28168.09,,
2023-04-05,28177.98,,
2023-04-06,28044.14,,
2023-04-07,27925.86,,
2023-04-08,27947.79,,
2023-04-09,28333.05,,
2023-04-10,29652.98,,
2023-04-11,30235.06,,
2023-04-12,30139.05,,
2023-04-13,30399.07,,
2023-04-14,30485.70,,
2023-04-15,30318.50,,
2023-04-16,30315.36,,
2023-04-17,29445.04,,
2023-04-18,30397.55,,
2023-04-19,28822.68,,
2023-04-20,28245.99,,
2023-04-21,27276.91,,
2023-04-22,27817.50,,
2023-04-23,27591.38,,
2023-04-24,27525.34,,
2023-04-25,28307.60,,
2023-04-26,28422.70,,
2023-04-27,29473.79,,
2023-04-28,29340.26,,
2023-04-29,29248.49,,
2023-04-30,29268.81,,
2023-05-01,28091.57,,
2023-05-02,28680.54,,
2023-05-03,29006.31,,
2023-05-04,28847.71,,
2023-05-05,29534.38,,
2023-05-06,28904.62,,
2023-05-07,28454.98,,
2023-05-08,27694.27,,
2023-05-09,27658.78,,
2023-05-10,27621.76,,
2023-05-11,27000.79,,
2023-05-12,26804.99,,
2023-05-13,26784.08,,
2023-05-14,26930.64,,
2023-05-15,27192.69,,
2023-05-16,27036.65,,
2023-05-17,27398.80,,
2023-05-18,26832.21,,
2023-05-19,26890.13,,
2023-05-20,27129.59,,
2023-05-21,26753.83,,
2023-05-22,26851.28,,
2023-05-23,27225.73,,
2023-05-24,26334.82,,
2023-05-25,26476.21,,
2023-05-26,26719.29,,
2023-05-27,26868.35,,
2023-05-28,28085.65,,
2023-05-29,27745.88,,
2023-05-30,27702.35,,
2023-05-31,27219.66,,
2023-06-01,26819.97,,
2023-06-02,27249.59,,
2023-06-03,27075.13,,
2023-06-04,27119.07,,
2023-06-05,25760.10,,
2023-06-06,27238.78,,
2023-06-07,26346.00,,
2023-06-08,26508.22,,
2023-06-09,26480.38,,
2023-06-10,25851.24,,
2023-06-11,25940.17,,
2023-06-12,25902.50,,
2023-06-13,25918.73,,
2023-06-14,25124.68,,
2023-06-15,25576.39,,
2023-06-16,26327.46,,
2023-06-17,26510.68,,
2023-06-18,26336.21,,
2023-06-19,26851.03,,
2023-06-20,28327.49,,
2023-06-21,30027.30,,
2023-06-22,29912.28,,
2023-06-23,30695.47,,
2023-06-24,30548.70,,
2023-06-25,30480.26,,
2023-06-26,30271.13,,
2023-06-27,30688.16,,
2023-06-28,30086.25,,
2023-06-29,30445.35,,
2023-06-30,30477.25,,
2023-07-01,30590.08,,
2023-07-02,30620.77,,
2023-07-03,31156.44,,
2023-07-04,30777.58,,
2023-07-05,30514.17,,
2023-07-06,29909.34,,
2023-07-07,30342.27,,
2023-07-08,30292.54,,
2023-07-09,30171.23,,
2023-07-10,30414.47,,
2023-07-11,30620.95,,
2023-07-12,30391.65,,
2023-07-13,31476.05,,
2023-07-14,30334.07,,
2023-07-15,30295.81,,
2023-07-16,30249.13,,
2023-07-17,30145.89,,
2023-07-18,29856.56,,
2023-07-19,29913.92,,
2023-07-20,29792.02,,
2023-07-21,29908.74,,
2023-07-22,29771.80,,
2023-07-23,30084.54,,
2023-07-24,29176.92,,
2023-07-25,29227.39,,
2023-07-26,29354.97,,
2023-07-27,29210.69,,
2023-07-28,29319.25,,
2023-07-29,29356.92,,
2023-07-30,29275.31,,
2023-07-31,29230.11,,
2023-08-01,29675.73,,
2023-08-02,29151.96,,
2023-08-03,29178.68,,
2023-08-04,29074.09,,
2023-08-05,29042.13,,
2023-08-06,29041.86,,
2023-08-07,29180.58,,
2023-08-08,29765.49,,
2023-08-09,29561.49,,
2023-08-10,29429.59,,
2023-08-11,29397.71,,
2023-08-12,29415.96,,
2023-08-13,29282.91,,
2023-08-14,29408.44,,
2023-08-15,29170.35,,
2023-08-16,28701.78,,
2023-08-17,26664.55,,
2023-08-18,26049.56,,
2023-08-19,26096.21,,
2023-08-20,26189.58,,
2023-08-21,26124.14,,
2023-08-22,26031.66,,
2023-08-23,26431.64,,
2023-08-24,26162.37,,
2023-08-25,26047.67,,
2023-08-26,26008.46,,
2023-08-27,26089.69,,
2023-08-28,26106.15,,
2023-08-29,27727.39,,
2023-08-30,27297.27,,
2023-08-31,25931.47,,
2023-09-01,25800.72,,
2023-09-02,25868.80,,
2023-09-03,25969.57,,
2023-09-04,25812.42,,
2023-09-05,25779.98,,
2023-09-06,25753.24,,
2023-09-07,26240.20,,
2023-09-08,25905.65,,
2023-09-09,25895.68,,
2023-09-10,25832.23,,
2023-09-11,25162.65,,
2023-09-12,25833.34,,
2023-09-13,26228.32,,
2023-09-14,26539.67,,
2023-09-15,26608.69,,
2023-09-16,26568.28,,
2023-09-17,26534.19,,
2023-09-18,26754.28,,
2023-09-19,27211.12,,
2023-09-20,27132.01,,
2023-09-21,26567.63,,
2023-09-22,26579.57,,
2023-09-23,26579.39,,
2023-09-24,26256.83,,
2023-09-25,26298.48,,
2023-09-26,26217.25,,
2023-09-27,26352.72,,
2023-09-28,27021.55,,
2023-09-29,26911.72,,
2023-09-30,26967.92,,
2023-10-01,27983.75,,
2023-10-02,27530.79,,
2023-10-03,27429.98,,
2023-10-04,27799.39,,
2023-10-05,27415.91,,
2023-10-06,27946.60,,
2023-10-07,27968.84,,
2023-10-08,27935.09,,
2023-10-09,27583.68,,
2023-10-10,27391.02,,
2023-10-11,26873.32,,
2023-10-12,26756.80,,
2023-10-13,26862.38,,
2023-10-14,26861.71,,
2023-10-15,27159.65,,
2023-10-16,28519.47,,
2023-10-17,28415.75,,
2023-10-18,28328.34,,
2023-10-19,28719.81,,
2023-10-20,29682.95,,
2023-10-21,29918.41,,
2023-10-22,29993.90,,
2023-10-23,33086.23,,
2023-10-24,33901.53,,
2023-10-25,34502.82,,
2023-10-26,34156.65,,
2023-10-27,33909.80,,
2023-10-28,34089.57,,
2023-10-29,34538.48,,
2023-10-30,34502.36,,
2023-10-31,34667.78,,
2023-11-01,35437.25,,
2023-11-02,34938.24,,
2023-11-03,34732.32,,
2023-11-04,35082.20,,
2023-11-05,35049.36,,
2023-11-06,35037.37,,
2023-11-07,35443.56,,
2023-11-08,35655.28,,
2023-11-09,36693.12,,
2023-11-10,37313.97,,
2023-11-11,37138.05,,
2023-11-12,37054.52,,
2023-11-13,36502.36,,
2023-11-14,35537.64,,
2023-11-15,37880.58,,
2023-11-16,36154.77,,
2023-11-17,36596.68,,
2023-11-18,36585.70,,
2023-11-19,37386.55,,
2023-11-20,37476.96,,
2023-11-21,35813.81,,
2023-11-22,37432.34,,
2023-11-23,37289.62,,
2023-11-24,37720.28,,
2023-11-25,37796.79,,
2023-11-26,37479.12,,
2023-11-27,37254.17,,
2023-11-28,37831.09,,
2023-11-29,37858.49,,
2023-11-30,37712.75,,
2023-12-01,38688.75,,
2023-12-02,39476.33,,
2023-12-03,39978.39,,
2023-12-04,41980.10,,
2023-12-05,44080.65,,
2023-12-06,43746.45,,
2023-12-07,43292.66,,
2023-12-08,44166.60,,
2023-12-09,43725.98,,
2023-12-10,43779.70,,
2023-12-11,41243.83,,
2023-12-12,41450.22,,
2023-12-13,42890.74,,
2023-12-14,43023.97,,
2023-12-15,41929.76,,
2023-12-16,42240.12,,
2023-12-17,41364.66,,
2023-12-18,42623.54,,
2023-12-19,42270.53,,
2023-12-20,43652.25,,
2023-12-21,43869.15,,
2023-12-22,43997.90,,
2023-12-23,43739.54,,
2023-12-24,43016.12,,
2023-12-25,43613.14,,
2023-12-26,42520.40,,
2023-12-27,43442.86,,
2023-12-28,42627.86,,
2023-12-29,42099.40,,
2023-12-30,42156.90,,
2023-12-31,42265.19,,
2024-01-01,44167.33,,
2024-01-02,44957.97,,
2024-01-03,42848.18,,
2024-01-04,44179.92,,
2024-01-05,44162.69,,
2024-01-06,43989.20,,
2024-01-07,43943.10,,
2024-01-08,46970.50,,
2024-01-09,46139.73,,
2024-01-10,46627.78,,
2024-01-11,46368.59,,
2024-01-12,42853.17,,
2024-01-13,42842.38,,
2024-01-14,41796.27,,
2024-01-15,42511.97,,
2024-01-16,43154.95,,
2024-01-17,42742.65,,
2024-01-18,41262.06,,
2024-01-19,41618.41,,
2024-01-20,41665.59,,
2024-01-21,41545.79,,
2024-01-22,39507.37,,
2024-01-23,39845.55,,
2024-01-24,40077.07,,
2024-01-25,39933.81,,
2024-01-26,41816.87,,
2024-01-27,42120.05,,
2024-01-28,42035.59,,
2024-01-29,43288.25,,
2024-01-30,42952.61,,
2024-01-31,42582.61,,
2024-02-01,43075.77,,
2024-02-02,43185.86,,
2024-02-03,42992.25,,
2024-02-04,42583.58,,
2024-02-05,42658.67,,
2024-02-06,43084.67,,
2024-02-07,44318.22,,
2024-02-08,45301.57,,
2024-02-09,47147.20,,
2024-02-10,47771.28,,
2024-02-11,48293.92,,
2024-02-12,49958.22,,
2024-02-13,49742.44,,
2024-02-14,51826.70,,
2024-02-15,51938.55,,
2024-02-16,52160.20,,
2024-02-17,51663.00,,
2024-02-18,52122.55,,
2024-02-19,51779.14,,
2024-02-20,52284.88,,
2024-02-21,51839.18,,
2024-02-22,51304.97,,
2024-02-23,50731.95,,
2024-02-24,51571.10,,
2024-02-25,51733.24,,
2024-02-26,54522.40,,
2024-02-27,57085.37,,
2024-02-28,62504.79,,
2024-02-29,61198.38,,
2024-03-01,62440.63,,
2024-03-02,62029.85,,
2024-03-03,63167.37,,
2024-03-04,68330.41,,
2024-03-05,63801.20,,
2024-03-06,66106.80,,
2024-03-07,66925.48,,
2024-03-08,68300.09,,
2024-03-09,68498.88,,
2024-03-10,69019.79,,
2024-03-11,72123.91,,
2024-03-12,71481.29,,
2024-03-13,73083.50,,
2024-03-14,71396.59,,
2024-03-15,69403.77,,
2024-03-16,65315.12,,
2024-03-17,68390.62,,
2024-03-18,67548.59,,
2024-03-19,61912.77,,
2024-03-20,67913.67,,
2024-03-21,65491.39,,
2024-03-22,63778.76,,
2024-03-23,64062.20,,
2024-03-24,67234.17,,
2024-03-25,69958.81,,
2024-03-26,69987.84,,
2024-03-27,69455.34,,
2024-03-28,70744.95,,
2024-03-29,69892.83,,
2024-03-30,69645.30,,
2024-03-31,71333.65,,
2024-04-01,69702.15,,
2024-04-02,65446.97,,
2024-04-03,65980.81,,
2024-04-04,68508.84,,
2024-04-05,67837.64,,
2024-04-06,68896.11,,
2024-04-07,69362.55,,
2024-04-08,71631.36,,
2024-04-09,69139.02,,
2024-04-10,70587.88,,
2024-04-11,70060.61,,
2024-04-12,67195.87,,
2024-04-13,63821.47,,
2024-04-14,65738.73,,
2024-04-15,63426.21,,
2024-04-16,63811.86,,
2024-04-17,61276.69,,
2024-04-18,63512.75,,
2024-04-19,63843.57,,
2024-04-20,64994.44,,
2024-04-21,64926.64,,
2024-04-22,66837.68,,
2024-04-23,66407.27,,
2024-04-24,64276.90,,
2024-04-25,64481.71,,
2024-04-26,63755.32,,
2024-04-27,63419.14,,
2024-04-28,63113.23,,
2024-04-29,63841.12,,
2024-04-30,60636.86,,
2024-05-01,58254.01,,
2024-05-02,59123.43,,
2024-05-03,62889.84,,
2024-05-04,63891.47,,
2024-05-05,64031.13,,
2024-05-06,63161.95,,
2024-05-07,62334.82,,
2024-05-08,61187.94,,
2024-05-09,63049.96,,
2024-05-10,60792.78,,
2024-05-11,60793.71,,
2024-05-12,61448.39,,
2024-05-13,62901.45,,
2024-05-14,61552.79,,
2024-05-15,66267.49,,
2024-05-16,65231.58,,
2024-05-17,67051.88,,
2024-05-18,66940.80,,
2024-05-19,66278.37,,
2024-05-20,71448.20,,
2024-05-21,70136.53,,
2024-05-22,69122.34,,
2024-05-23,67929.56,,
2024-05-24,68526.10,,
2024-05-25,69265.95,,
2024-05-26,68518.09,,
2024-05-27,69394.55,,
2024-05-28,68296.22,,
2024-05-29,67578.09,,
2024-05-30,68364.99,,
2024-05-31,67491.41,,
2024-06-01,67706.94,,
2024-06-02,67751.60,,
2024-06-03,68804.78,,
2024-06-04,70567.77,,
2024-06-05,71082.82,,
2024-06-06,70757.16,,
2024-06-07,69342.59,,
2024-06-08,69305.77,,
2024-06-09,69647.99,,
